ERROR 2026-06-02 10:14:36,259 fyers_feed FyersFeed broadcast error [symbol_NSE_NIFTY50_INDEX]: cannot schedule new futures after interpreter shutdown
INFO 2026-06-02 10:14:36,582 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23286.75
INFO 2026-06-02 10:14:36,601 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23286.75
ERROR 2026-06-02 10:14:36,602 fyers_feed FyersFeed broadcast error [symbol_NSE_NIFTY50_INDEX]: cannot schedule new futures after interpreter shutdown
ERROR 2026-06-02 10:14:36,855 dhan_feed DhanFeed: HTTP error: 429 Client Error: Too Many Requests for url: https://api.dhan.co/v2/marketfeed/ohlc
INFO 2026-06-02 10:14:37,005 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23288.35
INFO 2026-06-02 10:14:37,019 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23288.35
ERROR 2026-06-02 10:14:37,020 fyers_feed FyersFeed broadcast error [symbol_NSE_NIFTY50_INDEX]: cannot schedule new futures after interpreter shutdown
ERROR 2026-06-02 10:14:37,021 fyers_feed FyersFeed broadcast error [market]: cannot schedule new futures after interpreter shutdown
INFO 2026-06-02 10:14:37,450 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23287.85
INFO 2026-06-02 10:14:37,519 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23287.85
ERROR 2026-06-02 10:14:37,519 fyers_feed FyersFeed broadcast error [symbol_NSE_NIFTY50_INDEX]: cannot schedule new futures after interpreter shutdown
INFO 2026-06-02 10:14:37,781 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23287.95
INFO 2026-06-02 10:14:37,792 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23287.95
ERROR 2026-06-02 10:14:37,793 fyers_feed FyersFeed broadcast error [symbol_NSE_NIFTY50_INDEX]: cannot schedule new futures after interpreter shutdown
INFO 2026-06-02 10:14:38,235 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23288.95
INFO 2026-06-02 10:14:38,261 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23288.95
ERROR 2026-06-02 10:14:38,262 fyers_feed FyersFeed broadcast error [symbol_NSE_NIFTY50_INDEX]: cannot schedule new futures after interpreter shutdown
ERROR 2026-06-02 10:14:38,262 fyers_feed FyersFeed broadcast error [market]: cannot schedule new futures after interpreter shutdown
INFO 2026-06-02 10:14:38,583 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23287.45
ERROR 2026-06-02 10:14:38,584 fyers_feed FyersFeed broadcast error [symbol_NSE_NIFTY50_INDEX]: cannot schedule new futures after interpreter shutdown
INFO 2026-06-02 10:14:38,651 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23287.45
WARNING 2026-06-02 10:14:38,975 dhan_feed DhanFeed: ⚠️  Using fallback account (NOT master) | account=4 | client_id=1100520185 — Set DHAN_MASTER_CLIENT_ID in .env for stable feed.
INFO 2026-06-02 10:14:38,983 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23286.95
INFO 2026-06-02 10:14:39,019 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23286.95
ERROR 2026-06-02 10:14:39,020 fyers_feed FyersFeed broadcast error [symbol_NSE_NIFTY50_INDEX]: cannot schedule new futures after interpreter shutdown
ERROR 2026-06-02 10:14:39,023 dhan_feed DhanFeed: 401 Unauthorized — Dhan token expire ho gaya. Naya access token generate karo.
INFO 2026-06-02 10:14:39,436 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23287.20
INFO 2026-06-02 10:14:39,463 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23287.20
ERROR 2026-06-02 10:14:39,464 fyers_feed FyersFeed broadcast error [symbol_NSE_NIFTY50_INDEX]: cannot schedule new futures after interpreter shutdown
ERROR 2026-06-02 10:14:39,464 fyers_feed FyersFeed broadcast error [market]: cannot schedule new futures after interpreter shutdown
INFO 2026-06-02 10:14:39,806 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23287.85
ERROR 2026-06-02 10:14:39,807 fyers_feed FyersFeed broadcast error [symbol_NSE_NIFTY50_INDEX]: cannot schedule new futures after interpreter shutdown
ERROR 2026-06-02 10:14:39,848 dhan_feed DhanFeed: HTTP error: 429 Client Error: Too Many Requests for url: https://api.dhan.co/v2/marketfeed/ohlc
INFO 2026-06-02 10:14:39,868 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23287.85
INFO 2026-06-02 10:14:40,204 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23286.90
INFO 2026-06-02 10:14:40,241 fyers_feed FyersFeed TICK ✅ | symbol=NSE:NIFTY50-INDEX | ltp=23286.90
ERROR 2026-06-02 10:14:40,242 fyers_feed FyersFeed broadcast error [symbol_NSE_NIFTY50_INDEX]: cannot schedule new futures after interpreter shutdown
